title,price
SONY PlayStation 5 console 825 GB  (NA),"₹54,990"
SONY PlayStation 5 Digital Edition 825 GB with Astro's Playroom  (White),"₹44,990"
SONY CFI-1208A 01x 825 GB SSD GB with EA SPORTS FC 24 full game voucher  (White),"₹48,190"
SONY MSM2 Limited Edition Bundle 825 GB with Spider-Man 2  (Multicolor),"₹62,990"
SONY PS5 Standard DualSense Bundle CFI-1208A01R 825GB SSD GB  (White),"₹58,990"
SONY PlayStation 5 console GoWR VCH bundle 825 GB with Yes  (NA),"₹62,599"
Playstation Slim 1TB Console With Extra Controller NA GB  (Black),"₹38,900"
Playstation 4 Slim Console 500 GB  (Black),"₹32,990"
"Playstation 4 PS4 Slim with Extra Dualshock 4 Wireless Magma Red Controller 500 GB  (Black, YES)","₹37,900"
"PTCMart PS5 Model Classic 8 Bit Tv Video Game Console With Inbuilt 453 Games Non Repeat 1 GB with Contra, Mario, Car Race, Jungle Book, Fighting Games  (White)","₹1,436"
Playstation 4 Slim Console 1TB  (Black),"₹33,990"
D & Y Rockers-Game 1 GB with 3000 Games  (Black),"₹4,999"
"GLOWISH MATT SCREEN PS-P POCKET GAME PLAYER VINTAGE GAMES INCLUDED 4 GB with 100 GAMES, Tekken 3, Racing, Contra, mario  (Multicolor)","₹3,247"
"PTCMart 8 Bit PS5 Model Tv Video Game Console Classic With Inbuilt 453 Games Non Repeat 1 GB with Contra, Mario, Car Race, Jungle Book, Fighting Games  (White)","₹1,313"
"Playstation 4 PS4 Slim 1 Tb with Extra Dualshock 4 Wireless Green Camouflage Controller 1000 GB  (Black, yes)","₹38,900"
"PTCMart Classic 8 Bit Tv Video Game Console PS5 Model With Inbuilt 453 Games Non Repeat 1 GB with Contra, Mario, Car Race, Jungle Book, Fighting Games  (White)","₹1,486"
"PTCMart Classic 8 Bit PS5 Model Tv Video Game Console With Inbuilt 453 Games Non Repeat 1 GB with Contra, Mario, Car Race, Jungle Book, Fighting Games  (White)","₹1,467"
"Playstation 4 PS4 Slim with Extra Dualshock 4 Wireless Green Camouflage Controller 500 GB  (Black, yes)","₹37,900"
"Playstation 4 PS4 Slim 1 TB with Extra Dualshock 4 Wireless Midnight Blue Controller 1000 GB  (Black, yes)","₹38,900"
"Playstation 4 PS4 Slim 1 Tb with Extra Dualshock 4 Wireless Magma Red Controller 1000 GB  (Black, yes)","₹38,900"
"Playstation 4 PS4 Slim with Extra Dualshock 4 Wireless Midnight Blue Controller 500 GB  (Black, yes)","₹37,900"
SONY PS5 Console COD MW2 VCH Bundle (CFI-1208A01R) 825GB SSD GB with Call of Duty WMII Game  (White),"₹54,990"
SONY PlayStation 4 (PS4) Slim 500 GB  (Glacier White),"₹27,990"
SONY PS4 Slim 1 TB  (Steel Black),"₹25,399"
"SONY PS4 Slim 1 TB with Detroit - Become Human, The Last of Us - Remastered, God of War, Fortnite (DLC)  (Black, Yes)","₹27,622"
"SONY PS4 Slim 1 TB with Horizon Zero Dawn, God of War, Uncharted 4  (Jet Black)","₹28,790"
"SONY PS4 500 GB with Horizon Zero Dawn, Uncharted 4 and God of War III: Remastered  (Jet Black)","₹28,990"
"SONY PlayStation 4 (PS4) Slim 500 GB with Horizon Zero Dawn, Drive Club and Ratchet & Clank  (Jet Black)","₹28,990"
"Sony PlayStation 4 (PS4) Slim 500 GB with Uncharted 4, Horizon Zero Dawn (Complete Edition) and Gran Turismo Sport  (Jet Black)","₹27,508"
SONY PlayStation 4 (PS4) Slim 1 TB with The Last of Us and Uncharted Collection  (Jet Black),"₹28,999"
SONY PS4 Slim 1000 GB  (Black),"₹27,990"
SONY PlayStation 4 (PS4) Slim 1 TB with Red Dead Redemption 2  (Jet Black),"₹31,242"
"SONY PlayStation 4 1 TB with Drive Club  (Jet Black, Extra Dual Shock 4 Controller)","₹32,290"
SONY PlayStation 4 (PS4) Slim 1 TB with Uncharted 4 and Uncharted Collection  (Jet Black),"₹29,199"
"SONY PlayStation 4 (PS4) Slim 1 TB with Uncharted Collection, The Last of Us Remastered and God of War Remastered  (Jet Black)","₹32,990"
"SONY PlayStation 4 1 TB with The Last of Us  (Jet Black, Extra Dual Shock 4 Controller)","₹33,490"
SONY PlayStation 4 (PS4) 1 TB with FIFA 19  (Jet Black),"₹33,465"
SONY PlayStation 4 (PS4) Slim 1 TB with Call of Duty: Black Ops 4  (Jet Black),"₹32,290"
"SONY PlayStation 4 (PS4) Slim 1 TB  (Jet Black, Additional DualShock 4 Controller)","₹32,290"
SONY PlayStation 4 (PS4) Slim 1 TB with The Last of Us and Uncharted 4  (Jet Black),"₹32,990"
